Sensitivity,Positive Predictive Value,DER
100.0,99.69,0.308
99.68,99.52,0.801
96.94,95.42,7.713
99.71,99.43,0.861
87.32,87.47,25.195
94.09,95.22,10.632
81.21,79.21,40.105
98.18,90.79,11.781
41.31,39.26,122.6
54.06,49.48,101.144
19.93,12.46,220.075
92.51,67.41,52.217
100.0,51.67,93.538
77.55,71.67,53.097
99.64,100.0,0.357
96.94,97.83,5.207
98.63,57.29,74.902
98.43,90.85,11.478
74.34,53.09,91.352
93.01,93.16,13.813
97.58,92.79,10.008
99.8,94.22,6.324
79.73,59.45,74.648
87.6,82.38,31.136
90.43,86.44,23.749
98.93,78.86,27.599
62.73,64.47,71.838
99.18,99.55,1.273
73.7,77.64,47.525
78.64,80.17,40.803
98.33,91.05,11.341
94.71,94.43,10.879
99.49,87.02,15.351
89.61,86.44,24.446
95.17,81.47,26.481
95.23,92.25,12.768
92.1,50.57,97.938
91.82,98.79,9.303
99.03,99.95,1.015
87.2,86.57,26.331
94.15,95.9,9.875
89.67,84.76,26.457
83.04,66.83,58.178
66.04,60.12,77.769
78.11,88.4,32.139
97.63,93.91,8.705
87.27,69.81,50.46
99.6,99.64,0.76
