Beta 1,Beta 2,T,Specificity Mean,Specificity Std,Sensitivity Mean,Sensitivity Std,DER Mean,DER Std
0.0001,0.0001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.0001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.0001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.0001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.0001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.0001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.001,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.05,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.1,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.01,0.5,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.1,0.001,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.1,0.005,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
0.0001,0.1,0.01,76.64833333333333,21.209633332504612,87.72791666666666,16.287775726616797,45.84083333333333,49.36024146132763
